1,129,129,764.94,6.17, 1.03, 0.84,145,145,756.91,5.22, 1.03, 0.83,152,152,719.94,4.84, 1.04, 0.81,156,156,680.90,4.43, 1.08, 0.76
1,144,144,817.49,5.94, 1.02, 0.85,156,156,843.90,5.81, 1.01, 0.87,155,155,791.34,5.45, 1.03, 0.84,160,160,791.29,4.97, 1.04, 0.84
1,150,150,882.57,6.13, 1.05, 0.86,155,155,869.20,5.87, 1.03, 0.85,159,159,861.18,5.57, 1.07, 0.86,169,169,856.22,5.23, 1.08, 0.85
1,127,127,791.48,6.75, 1.02, 0.83,146,146,749.43,5.14, 1.05, 0.79,158,158,727.52,4.35, 1.04, 0.75,165,165,767.28,4.45, 1.05, 0.80
2,233,233,1384.84,6.47, 1.12, 0.84,251,251,1285.91,5.29, 1.14, 0.79,264,264,1236.69,4.84, 1.12, 0.77,277,277,1231.57,4.81, 1.16, 0.77
2,226,226,1263.20,5.89, 1.15, 0.78,234,234,1246.16,5.21, 1.13, 0.77,259,259,1251.57,4.70, 1.12, 0.78,249,249,1212.11,5.25, 1.14, 0.78
2,244,244,1508.95,6.59, 1.13, 0.85,273,273,1474.15,5.74, 1.12, 0.83,285,285,1416.12,5.00, 1.12, 0.79,276,276,1391.30,5.08, 1.11, 0.78
2,229,229,1374.88,6.21, 1.14, 0.87,247,247,1343.37,5.57, 1.12, 0.85,252,252,1307.36,5.28, 1.12, 0.83,238,238,1268.37,5.48, 1.08, 0.81
2,264,264,1510.93,6.07, 1.13, 0.79,279,279,1464.69,5.43, 1.18, 0.77,301,301,1456.75,5.06, 1.21, 0.76,293,293,1399.01,5.07, 1.18, 0.73
2,238,238,1531.10,7.04, 1.19, 0.85,274,274,1416.12,5.33, 1.20, 0.79,296,296,1365.67,4.65, 1.20, 0.77,284,284,1416.58,5.00, 1.22, 0.78
2,236,236,1443.46,6.39, 1.10, 0.85,262,262,1459.75,5.64, 1.11, 0.85,274,274,1313.56,4.86, 1.17, 0.77,273,273,1317.64,5.01, 1.17, 0.77
2,229,229,1329.12,6.29, 1.11, 0.83,244,244,1247.09,5.27, 1.18, 0.79,265,265,1305.76,5.05, 1.18, 0.83,255,255,1197.10,5.13, 1.20, 0.75
2,263,263,1608.36,6.54, 1.22, 0.84,297,297,1536.55,5.26, 1.30, 0.81,315,315,1507.67,4.90, 1.26, 0.81,322,322,1516.58,4.86, 1.25, 0.81
2,222,222,1294.88,6.24, 1.11, 0.81,262,262,1267.53,4.92, 1.16, 0.81,259,259,1184.74,5.01, 1.10, 0.76,265,265,1257.88,4.87, 1.15, 0.80
2,247,247,1601.73,6.91, 1.14, 0.83,288,288,1578.92,5.58, 1.15, 0.82,299,299,1542.69,5.29, 1.15, 0.80,301,301,1583.50,5.45, 1.15, 0.82
2,249,249,1462.22,6.08, 1.13, 0.84,270,270,1426.41,5.57, 1.21, 0.81,274,274,1367.94,5.16, 1.15, 0.79,285,285,1381.94,5.41, 1.12, 0.80
2,238,238,1394.93,6.36, 1.15, 0.81,268,268,1396.59,5.44, 1.13, 0.79,281,281,1342.52,4.70, 1.16, 0.75,285,285,1345.80,4.75, 1.19, 0.76
2,233,233,1334.91,6.11, 1.07, 0.81,244,244,1298.96,5.45, 1.07, 0.78,259,259,1297.65,5.16, 1.15, 0.79,277,277,1317.31,4.87, 1.15, 0.81
2,236,236,1327.71,5.89, 1.17, 0.75,248,248,1390.61,5.73, 1.16, 0.78,268,268,1324.86,4.96, 1.17, 0.76,272,272,1262.59,4.73, 1.14, 0.73
2,232,232,1434.40,6.78, 1.15, 0.84,258,258,1345.08,5.38, 1.13, 0.80,282,282,1333.70,4.72, 1.16, 0.80,298,298,1350.27,4.64, 1.15, 0.82
